ZONA,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,indirect2,indirect,direct,d1cptm,d2cptm,d3cptm,Vol00_Vol00_sum,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum,Vol95_Vol95_sum
425,Sacadura Cabral,32,Santo André,128,Santo André,179.89,0,0,0,0,0,0,9418242,9418242,9418242,9418242,9418242,9418242
426,Campestre,32,Santo André,128,Santo André,287.09,0,0,0,0,0,0,16777462,16777462,16777462,16778872,16785908,16777446
427,Utinga,32,Santo André,128,Santo André,566.15,0,0,0,0,0,0,22501689,22597625,22693536,22818576,23100959,22483784
428,Vila Lucinda,32,Santo André,128,Santo André,457.81,0,0,0,0,0,0,22086630,22088106,22089590,22090774,22090774,22032403
429,Parque Oratório,32,Santo André,128,Santo André,578.55,0,0,0,0,0,0,24472264,24596041,24726395,25026249,25115098,24374716
430,Parque das Nações,32,Santo André,128,Santo André,527.79,0,0,0,0,0,0,24167812,24319317,24472093,24603481,24659863,23733544
431,Jardim do Estádio,32,Santo André,128,Santo André,1142.33,0,0,0,0,0,0,50469411,50642228,50817516,51012351,51226722,49854630
432,Carijós,32,Santo André,128,Santo André,914.11,0,0,0,0,0,0,45486230,45568253,45666878,45749373,45865260,45387111
433,Parque do Pedroso,32,Santo André,128,Santo André,3164.82,0,0,0,0,0,0,34426400,35625336,37120146,38556092,39901539,29957333
434,Paranapiacaba,32,Santo André,128,Santo André,8465.27,0,0,0,0,0,0,1421462,1496336,1592540,1732819,1979512,1393880
435,Capuava,22,Mauá,118,Mauá,1957.14,0,0,0,0,0,0,36668428,38365098,40572036,43071465,44811551,34390654
436,Mauá,22,Mauá,118,Mauá,1131.35,0,0,0,0,0,0,51512947,51919369,52436795,52909230,53375496,51092335
437,Jardim Zaíra,22,Mauá,118,Mauá,1240.23,0,0,0,0,0,0,57940488,58710334,59617990,60587881,62188976,54326898
438,Barão de Mauá,22,Mauá,118,Mauá,604.52,0,0,0,0,0,0,33439481,33757861,34079222,34559468,35532274,32285398
439,Estrada do Carneiro,22,Mauá,118,Mauá,1268.48,0,0,0,0,0,0,7413038,7715762,8063665,8679363,10372271,6005435
440,Ribeirão Pires,27,Ribeirão Pires,123,Ribeirão Pires,5256.82,0,0,0,0,0,0,36195451,37596299,39175082,41488735,45812531,34813220
441,Jardim Santa Luzia,27,Ribeirão Pires,123,Ribeirão Pires,2519.74,0,0,0,0,0,0,9344165,9838709,10423244,11189155,12795378,8916015
442,Ouro Fino Paulista,27,Ribeirão Pires,123,Ribeirão Pires,2156.26,0,0,0,0,0,0,4236617,4659202,5170414,6004549,7516252,3944717
443,Parque Sete Pontes,28,Rio Grande da Serra,124,Rio Grande da Serra,1886.11,0,0,0,0,0,0,1665185,1776727,1948465,2216818,3071340,1467628
444,Rio Grande da Serra,28,Rio Grande da Serra,124,Rio Grande da Serra,1756.13,0,0,0,0,0,0,8250926,8774108,9471984,10259582,11007183,7936356
445,Planalto,33,São Bernardo do Campo,129,São Bernardo do Campo,1109.34,0,0,0,0,0,0,55997472,56279057,56570797,56951568,57148090,55221441
446,Paulicéia,33,São Bernardo do Campo,129,São Bernardo do Campo,805.47,0,0,0,0,0,0,43470245,43731893,43993599,44347294,44619031,43324154
447,Rudge Ramos,33,São Bernardo do Campo,129,São Bernardo do Campo,470.61,0,0,0,0,0,0,27371981,27377127,27382297,27386909,27389467,27370832
448,Baeta Neves,33,São Bernardo do Campo,129,São Bernardo do Campo,535.87,0,0,0,0,0,0,31852380,32024917,32197573,32341529,32411242,31754617
449,São Bernardo do Campo,33,São Bernardo do Campo,129,São Bernardo do Campo,742.96,0,0,0,0,0,0,48840617,49034339,49228042,49386180,49401815,48704943
450,Montanhão,33,São Bernardo do Campo,129,São Bernardo do Campo,1054.93,0,0,0,0,0,0,48498655,48851496,49204716,49544155,49721959,45267135
451,Demarchi,33,São Bernardo do Campo,129,São Bernardo do Campo,1059.42,0,0,0,0,0,0,50974005,51331423,51709367,52039275,52266670,50254681
452,Riacho Grande,33,São Bernardo do Campo,129,São Bernardo do Campo,3065.46,0,0,0,0,0,0,14144795,14703481,15300361,16027244,16725500,12424335
453,Caminho do Mar,33,São Bernardo do Campo,129,São Bernardo do Campo,28151.71,0,0,0,0,0,1,6673846,6928945,7284006,7783592,8593738,5783539
454,Reservatório Billings,33,São Bernardo do Campo,129,São Bernardo do Campo,4043.04,0,0,0,0,0,1,48844214,50453460,52305885,54128876,55235082,44103818
455,Diadema,8,Diadema,104,Diadema,493.35,0,0,0,0,0,1,31308310,31453890,31600316,31738633,31846168,31188200
456,Jardim das Nações,8,Diadema,104,Diadema,591.18,0,0,0,0,0,0,34295918,34346260,34396513,34616781,34780782,34269204
457,Piraporinha,8,Diadema,104,Diadema,763.86,0,0,0,0,0,0,47334233,47407143,47480076,47546409,47586494,46503696
458,Vila Conceição,8,Diadema,104,Diadema,371.2,0,0,0,0,0,1,24455430,24559394,24663447,24750470,24769661,23984721
459,Eldorado,8,Diadema,104,Diadema,866.88,0,0,0,0,0,1,27133277,27613463,28113166,28585646,28785597,26240424
460,Taboão da Serra,38,Taboão da Serra,133,Taboão da Serra,526.97,0,0,0,0,0,0,28191705,28906367,29778404,30795490,31421655,27052708
461,Jardim Irapuã,38,Taboão da Serra,133,Taboão da Serra,406.71,0,0,0,0,0,0,18242023,18606348,18980406,19319788,19560670,17833859
462,Parque Pinheiros,38,Taboão da Serra,133,Taboão da Serra,723.48,0,0,0,0,0,0,32866445,33174394,33491481,33794328,34039896,32091000
463,Parque Industrial,38,Taboão da Serra,133,Taboão da Serra,386.21,0,0,0,0,0,0,22386738,22539717,22694891,22830482,22896515,21964197
464,Santo Eduardo,9,Embu das Artes,105,Embu das Artes,318.72,0,0,0,0,0,0,19595140,19644220,19695641,19738826,19754269,19491023
465,São Marcos,9,Embu das Artes,105,Embu das Artes,1868.03,0,0,0,0,0,0,39208048,40437774,41881006,43181777,43909853,37132179
466,Embu das Artes,9,Embu das Artes,105,Embu das Artes,1469.34,0,0,0,0,0,0,29195498,30688561,32513646,34804651,38243172,27869077
467,Ressaca,9,Embu das Artes,105,Embu das Artes,3398.73,0,0,0,0,0,0,4062994,4711460,5777642,7285519,8832811,3761889
468,Itapecerica da Serra,16,Itapecerica da Serra,112,Itapecerica da Serra,7478.56,0,0,0,0,0,0,51214393,54173137,58161080,62290483,64190680,47289140
469,Jardim Petrópolis,16,Itapecerica da Serra,112,Itapecerica da Serra,4132.43,0,0,0,0,0,0,281023,372711,584487,871118,1212275,230142
470,Embu-Mirim,16,Itapecerica da Serra,112,Itapecerica da Serra,3509.86,0,0,0,0,0,0,1638402,1914147,2376480,2919186,3426031,1465612
