NumeroZona,g15,g20,indirect,indirect2,direct
"99",133.070995920721913,47.834686225225589,"0","0","0"
"100",33.140928869549775,67.276440813426873,"0","0","0"
"101",5.977325339823114,0.000000000000000,"0","0","0"
"102",258.818380743982516,0.000000000000000,"0","0","0"
"103",95.171113689095137,0.000000000000000,"0","0","0"
"104",68.002803083391740,0.000000000000000,"0","0","0"
"105",1.447915270143451,0.000000000000000,"0","0","0"
"106",37.314187481039539,1.203357265648701,"0","0","0"
"107",6.906710310965630,0.000000000000000,"0","0","0"
"108",158.219609489817344,553.018055847155097,"0","0","0"
"109",316.011866712560050,282.344167445214794,"0","0","0"
"110",279.225640186533553,561.232921541356404,"0","0","0"
"111",243.930486798679880,136.616474147414749,"0","0","0"
"112",805.150860499550845,541.592834429691493,"0","0","0"
"113",209.611744508517859,75.599771096535633,"0","0","0"
"114",30.235933922145893,99.562479555119396,"0","0","0"
"115",909.890971740080772,962.203965131528207,"0","0","0"
"116",1020.645875717854324,975.606474208750683,"0","0","0"
"117",1396.374315723303425,860.357788312946809,"0","0","0"
"118",218.105241092459693,310.344827586206918,"0","0","0"
"119",385.235508393376449,318.155187769349936,"0","0","0"
"120",11.363422091128260,57.714116395275227,"0","0","0"
"121",1171.660885782510832,1315.007059069597290,"0","0","0"
"122",869.265598116453816,1310.468169881372660,"0","0","0"
"123",7.061966664008294,0.000000000000000,"0","0","0"
"124",0.000000000000000,0.000000000000000,"0","0","0"
"125",344.142639262110549,235.400779528893395,"0","0","0"
"126",234.075788255713064,34.765210683637065,"0","0","0"
"127",41.486055366882781,0.481630132757024,"0","0","0"
"128",0.000000000000000,0.000000000000000,"0","0","0"
"129",0.000000000000000,0.000000000000000,"0","0","0"
"130",131.183398766124526,265.241166573191265,"0","0","0"
"131",83.346055979643765,0.000000000000000,"0","0","0"
"132",151.709619800969620,91.541209492217405,"0","0","0"
"133",124.754731017808155,0.000000000000000,"0","0","0"
"134",303.632308427592761,173.896765971005237,"0","0","0"
"135",43.975551969233933,15.654293857088899,"0","0","0"
"136",13.659136314737973,0.000000000000000,"0","0","0"
"137",100.594584938882790,151.754408349707802,"0","0","0"
"138",27.206053550640277,23.079161816065191,"0","0","0"
"139",47.569390402075229,38.666666666666664,"0","0","0"
"140",0.000000000000000,0.000000000000000,"0","0","0"
"141",189.984955493334468,335.293994734422654,"0","0","0"
"142",456.691759826902285,693.896501983411440,"0","0","0"
"143",0.311490804150157,8.419413206293946,"0","0","0"
"144",302.955923612996628,331.606480224454629,"0","0","0"
"145",871.392249693143981,2438.129054883394474,"0","0","0"
"146",23.092355424918935,114.265052371287936,"0","0","0"
"147",826.066874677542273,835.584600643687281,"0","0","0"
"148",1623.659610397442748,3296.848802846631770,"0","0","0"
"149",10.439120719222576,49.532817128306398,"0","0","0"
"150",944.854910783649530,1725.945146394366702,"0","0","0"
"151",457.200153136565007,365.852369059121656,"0","0","0"
"152",2.822763423579346,0.000000000000000,"0","0","0"
"153",1064.145048814504889,1602.449093444909295,"0","0","0"
"154",13.663967611336032,20.410641989589362,"0","0","0"
"155",202.462880037709198,343.923324691648986,"0","0","0"
"156",203.746472309245746,198.003780131010018,"0","0","0"
"157",0.000000000000000,0.000000000000000,"0","0","0"
"158",0.000000000000000,0.000000000000000,"0","0","0"
"159",6.750005502123820,4.511741532231442,"0","0","0"
"160",48.802463215808999,26.131287383590337,"0","0","0"
"161",263.269007544979672,332.748113755078350,"0","0","0"
"162",1.670083717751580,0.000000000000000,"0","0","0"
"163",9.288537549407115,0.000000000000000,"0","0","0"
"164",4.891749561146870,0.000000000000000,"0","0","0"
"165",36.659212110786171,0.000000000000000,"0","0","0"
"166",151.722578523269192,60.738365400427561,"0","0","0"
"167",21.105303416624171,105.641254462009186,"0","0","0"
"168",140.878191248300510,83.362707084948894,"0","0","0"
"169",48.518268734875235,0.000000000000000,"0","0","0"
"170",52.183985839233650,76.965326947105353,"0","0","0"
"171",12.950748936694817,1.991000431486162,"0","0","0"
"172",0.000000000000000,0.000000000000000,"0","0","0"
"173",0.000000000000000,0.000000000000000,"0","0","0"
"174",5.773697599823028,4.623382369206946,"0","0","0"
"175",92.494698184451451,95.153364713184700,"0","0","0"
"176",1.127334872425269,0.000000000000000,"0","0","0"
"177",55.742676839031738,60.367335405481775,"0","0","0"
"178",1739.119170984455877,1034.157034675169371,"0","0","0"
"179",48.709598632255961,240.690385085076940,"0","0","0"
"180",150.501314558174784,350.565928434561727,"0","0","0"
"181",0.048409219266869,0.244735497404728,"0","0","0"
"182",0.000000000000000,0.000000000000000,"0","0","0"
"183",0.000000000000000,0.000000000000000,"0","0","0"
"184",0.000000000000000,0.000000000000000,"0","0","0"
"185",0.000000000000000,0.000000000000000,"0","0","0"
"186",28.045950336504987,0.498955674170341,"0","0","0"
"187",75.551198431435324,1.784642471289664,"0","0","0"
"188",13.050455467975645,0.000000000000000,"0","0","0"
"189",52.465635209270793,0.000000000000000,"0","0","0"
"190",66.405339548680999,90.648726913161696,"0","0","0"
"191",224.442226815881412,18.939339938698414,"0","0","0"
"192",0.000000000000000,0.000000000000000,"0","0","0"
"193",0.000000000000000,0.000000000000000,"0","0","0"
"194",0.000000000000000,0.000000000000000,"0","0","0"
"195",0.000000000000000,0.000000000000000,"0","0","0"
"196",19.099768429177924,0.000000000000000,"0","0","0"
"197",111.643812985296549,68.574260697174964,"0","0","0"
"198",23.312472060795702,67.026151095216804,"0","0","0"
