NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,g10,g15,g20,indirect,indirect2,direct,d1cptm,d2cptm,d3cptm,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum
"12",Pari,"36",São Paulo,"57",Pari,140.16,0.000000000000000,0.000000000000000,0.000000000000000,"1","1","0","0","0","0",7953537.000000000000000,7953537.000000000000000,7953537.000000000000000,7953537.000000000000000
"13",João Teodoro,"36",São Paulo,"10",Brás,39.32,0.000000000000000,0.000000000000000,0.000000000000000,"1","1","0","0","0","0",2145294.000000000000000,2145294.000000000000000,2145294.000000000000000,2145294.000000000000000
"14",Oriente,"36",São Paulo,"10",Brás,69.88,0.000000000000000,0.000000000000000,0.000000000000000,"1","0","0","0","0","0",5499943.000000000000000,5499943.000000000000000,5499943.000000000000000,5499943.000000000000000
"15",Bresser,"36",São Paulo,"10",Brás,76.98,0.000000000000000,0.000000000000000,0.000000000000000,"1","0","0","0","0","0",4925415.000000000000000,4925415.000000000000000,4925415.000000000000000,4925415.000000000000000
"16",Brás,"36",São Paulo,"10",Brás,109.08,0.000000000000000,0.000000000000000,0.000000000000000,"1","0","0","0","0","0",7213217.000000000000000,7213217.000000000000000,7213217.000000000000000,7213217.000000000000000
"17",Gasômetro,"36",São Paulo,"10",Brás,69.35,0.000000000000000,0.000000000000000,0.000000000000000,"1","1","0","0","0","0",4053037.000000000000000,4053037.000000000000000,4053037.000000000000000,4053037.000000000000000
"18",Independência,"36",São Paulo,"14",Cambuci,253.75,8.642364532019704,6.932019704433498,0.000000000000000,"0","0","0","0","0","0",15786955.000000000000000,15789148.000000000000000,15790907.000000000000000,15790907.000000000000000
"19",Cambuci,"36",São Paulo,"14",Cambuci,140.43,4.123050630207221,89.019440290536210,427.985473189489426,"0","0","0","0","0","0",9760617.000000000000000,9761196.000000000000000,9773697.000000000000000,9833799.000000000000000
"20",Glicério,"36",São Paulo,"49",Liberdade,108.02,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",7755300.000000000000000,7755300.000000000000000,7755300.000000000000000,7755300.000000000000000
"21",Aclimação,"36",São Paulo,"49",Liberdade,113.62,92.395704981517341,239.412075338848780,847.843689491286682,"0","0","0","0","0","0",9070401.000000000000000,9080899.000000000000000,9108101.000000000000000,9204433.000000000000000
"22",Pires da Mota,"36",São Paulo,"49",Liberdade,50.03,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",5714316.000000000000000,5714316.000000000000000,5714316.000000000000000,5714316.000000000000000
"23",Centro Cultural,"36",São Paulo,"49",Liberdade,33.24,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",3648727.000000000000000,3648727.000000000000000,3648727.000000000000000,3648727.000000000000000
"24",Liberdade,"36",São Paulo,"49",Liberdade,59.49,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",6601696.000000000000000,6601696.000000000000000,6601696.000000000000000,6601696.000000000000000
"25",Treze de Maio,"36",São Paulo,"7",Bela Vista,42.85,271.738623103850614,217.129521586931162,0.000000000000000,"1","1","0","0","0","0",4076043.000000000000000,4087687.000000000000000,4096991.000000000000000,4096991.000000000000000
"26",Bexiga,"36",São Paulo,"7",Bela Vista,51.76,0.000000000000000,0.000000000000000,0.000000000000000,"1","1","0","0","0","0",4352214.000000000000000,4352214.000000000000000,4352214.000000000000000,4352214.000000000000000
"27",Bela Vista,"36",São Paulo,"7",Bela Vista,93.80,842.803837953091715,771.780383795309149,489.498933901918974,"1","0","0","0","0","0",12069141.999999998137355,12148197.000000001862645,12220590.000000000000000,12266505.000000000000000
"28",São Carlos do Pinhal,"36",São Paulo,"7",Bela Vista,31.03,429.809861424427993,562.842410570415723,1094.489203996132801,"1","0","0","0","0","0",5353494.000000000000000,5366831.000000000000000,5384296.000000000000000,5418258.000000000000000
"29",Masp,"36",São Paulo,"7",Bela Vista,57.27,123.048716605552642,906.233630172865332,4034.328618823118177,"1","1","0","0","0","0",8253676.000000000000000,8260723.000000000000000,8312623.000000000000000,8543669.000000000000000
"30",Higienópolis,"36",São Paulo,"26",Consolação,67.81,29.730128299660816,123.698569532517325,497.758442707565223,"1","1","0","0","0","0",8603917.000000000000000,8605933.000000000000000,8614321.000000000000000,8648074.000000000000000
"31",Vila Buarque,"36",São Paulo,"26",Consolação,89.58,614.690779191783918,515.885242241571746,122.906898861352985,"1","1","0","0","0","0",9904633.000000000000000,9959696.999999998137355,10005909.999999998137355,10016920.000000000000000
"32",Consolação,"36",São Paulo,"26",Consolação,57.23,97.029529966800638,436.379521230124112,1795.614188362746972,"1","1","1","0","0","0",7017617.000000000000000,7023170.000000000000000,7048143.999999999068677,7150907.000000000000000
"33",Pacaembu,"36",São Paulo,"26",Consolação,90.45,263.294637921503579,300.121614151464883,445.163073521282456,"1","1","0","0","0","0",4410685.000000000000000,4434500.000000000000000,4461646.000000000000000,4501911.000000000000000
"34",FAAP,"36",São Paulo,"26",Consolação,74.45,661.947615849563476,1097.044996642041497,2840.926796507723338,"1","1","0","0","0","0",7484227.000000000000000,7533509.000000000000000,7615183.999999999068677,7826691.000000000000000
"35",Santa Cecília,"36",São Paulo,"70",Santa Cecília,144.09,104.934415990006244,84.474980914706080,0.000000000000000,"1","1","0","0","0","0",16452325.000000001862645,16467445.000000000000000,16479617.000000000000000,16479617.000000000000000
"36",Marechal Deodoro,"36",São Paulo,"70",Santa Cecília,142.20,102.046413502109715,84.078762306610415,12.876230661040788,"1","0","0","0","0","0",16043933.000000000000000,16058444.000000000000000,16070400.000000000000000,16072231.000000000000000
"37",Rudge,"36",São Paulo,"70",Santa Cecília,84.73,1.852944647704473,1.616900743538298,0.000000000000000,"1","0","0","0","0","0",4364301.000000000000000,4364458.000000000000000,4364595.000000000000000,4364595.000000000000000
"38",Catumbi,"36",São Paulo,"8",Belém,81.44,75.171905697445979,59.970530451866409,0.000000000000000,"0","0","0","0","0","0",3183945.000000000000000,3190067.000000000000000,3194951.000000000000000,3194951.000000000000000
"39",Belém,"36",São Paulo,"8",Belém,160.71,96.135896957252186,84.369360960736714,69.647190591749109,"0","0","0","0","0","0",6813689.000000000000000,6829139.000000000000000,6842698.000000000000000,6853891.000000000000000
"40",Quarta Parada,"36",São Paulo,"8",Belém,127.40,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",5676821.000000000931323,5676821.000000000931323,5676821.000000000931323,5676821.000000000931323
"41",Belenzinho,"36",São Paulo,"8",Belém,180.11,0.000000000000000,0.444173005385598,2.420742879351507,"0","0","0","0","0","0",12205381.000000000000000,12205381.000000000000000,12205461.000000000000000,12205897.000000000000000
"42",Celso Garcia,"36",São Paulo,"8",Belém,63.89,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",3701612.000000000000000,3701612.000000000000000,3701612.000000000000000,3701612.000000000000000
"43",Mooca,"36",São Paulo,"54",Mooca,271.79,17.697487030427901,43.165679384819157,144.159093417712199,"1","0","0","0","0","0",17621635.000000000000000,17626445.000000000000000,17638177.000000000000000,17677358.000000000000000
"44",Alto da Mooca,"36",São Paulo,"54",Mooca,141.65,0.000000000000000,0.000000000000000,0.000000000000000,"1","1","0","0","0","0",10188442.000000000000000,10188442.000000000000000,10188442.000000000000000,10188442.000000000000000
"45",Parque da Mooca,"36",São Paulo,"54",Mooca,381.42,49.436316920979493,48.956530858371345,47.994336951392157,"1","1","0","0","0","0",28324876.000000000000000,28343732.000000000000000,28362405.000000000000000,28380711.000000000000000
"46",Água Rasa,"36",São Paulo,"1",Água Rasa,315.81,0.000000000000000,10.300497134352934,51.486653367531112,"1","1","0","0","0","0",17989128.000000000000000,17989128.000000000000000,17992381.000000000000000,18008641.000000000000000
